adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_name,center_lat,center_lon,flood_frequency_years,flood_pixel_days,crop_pct,rangeland_pct,cattle_sum,pop_sum
Pibor,,,,SS0308,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,33049.90811531,v03,en,,,,Pibor,6.55998921,33.70444855,0.0,0.0,0.0005709661466528795,49.65739333722969,193875.53854897857,213105.50040332973
Pochalla,,,,SS0309,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,8261.13304575,v03,en,,,,Pochalla,7.20510793,33.67489477,0.0,0.0,0.0,33.62897091722595,80363.33327277239,72752.62189117074
Twic East,,,,SS0310,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,5943.90021407,v03,en,,,,Twic East,7.04921108,31.34086564,0.0,0.0,0.0,15.771032166843408,88299.61811081131,122406.90642085671
Uror,,,,SS0311,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,12170.86761123,v03,en,,,,Uror,7.68454893,32.18108566,0.0,0.0,0.0032885431400282886,56.610761433286186,217525.10347832224,188566.23633888736
Awerial,,,,SS0401,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,4528.66080968,v03,en,,,,Awerial,6.18804336,31.11766628,0.0,0.0,0.018962133456476564,29.505599168783192,176328.24155778292,141373.64259609208
Cueibet,,,,SS0402,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,4862.31761715,v03,en,,,,Cueibet,7.10207839,29.21175972,0.0,0.0,0.04974882514989467,46.198411926754176,219504.52589374283,178423.22148667276
Rumbek Centre,,,,SS0403,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,3853.36434379,v03,en,,,,Rumbek Centre,7.00089312,29.79227719,0.0,0.0,0.4256108202443281,46.70706079115765,192536.15799166597,219529.4533218816
Rumbek East,,,,SS0404,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,3566.75210694,v03,en,,,,Rumbek East,6.74125391,30.03102583,0.0,0.0,0.06553284963056646,35.62317779404913,166305.2755131909,173925.18421874568
Rumbek North,,,,SS0405,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,4103.89211232,v03,en,,,,Rumbek North,7.54530131,29.62039003,0.0,0.0,0.010896637608966376,48.08810709838107,194708.27402497115,69883.33986340463
Wulu,,,,SS0406,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,11843.53283579,v03,en,,,,Wulu,6.22315345,29.16159452,0.0,0.0,0.00047010607521697206,32.469467213114754,166683.00024819633,88397.163600903
Yirol East,,,,SS0407,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,5568.58283738,v03,en,,,,Yirol East,6.77382755,30.76702054,0.0,0.0,0.005574088932055234,18.33566994637051,142276.7636807661,155576.56948389858
Yirol West,,,,SS0408,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,4858.70414626,v03,en,,,,Yirol West,6.384581,30.45282119,0.0,0.0,0.1380114089431393,45.651168496595716,204961.6287366536,169955.78132718243
Aweil Centre,,,,SS0501,Northern Bahr el Ghazal,,,,SS05,South Sudan,,,,SS,2022-12-19,,11156.74765446,v03,en,,,,Aweil Centre,8.42299773,26.89951962,0.0,0.0,0.0186837896103294,30.318598020352812,364961.8333817694,68425.5219984334
Aweil East,,,,SS0502,Northern Bahr el Ghazal,,,,SS05,South Sudan,,,,SS,2022-12-19,,6367.53388429,v03,en,,,,Aweil East,9.17410199,27.6450677,0.0,0.0,2.0232258397133505,46.10262160699095,505027.780256183,333278.67187607987
Aweil North,,,,SS0503,Northern Bahr el Ghazal,,,,SS05,South Sudan,,,,SS,2022-12-19,,6342.81456166,v03,en,,,,Aweil North,9.373273,26.69348149,0.0,0.0,0.285822120118149,30.059222185756482,463800.50388617243,164971.0505518373
Aweil South,,,,SS0504,Northern Bahr el Ghazal,,,,SS05,South Sudan,,,,SS,2022-12-19,,1976.88285788,v03,en,,,,Aweil South,8.67119857,27.68293112,0.0,0.0,0.9323500491642085,40.05847263192396,141256.80069109378,141464.8981030304
Aweil West,,,,SS0505,Northern Bahr el Ghazal,,,,SS05,South Sudan,,,,SS,2022-12-19,,5007.85168383,v03,en,,,,Aweil West,8.90571524,26.50506551,0.0,0.0,0.26354356175459875,37.44031736405903,318964.9515941322,197692.7934136698
Abiemnhom,,,,SS0601,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,2407.82705569,v03,en,,,,Abiemnhom,9.52879908,29.12444015,0.0,0.0,0.0002289246265667029,27.42923367481257,73586.64128463752,56952.36153034866
Guit,,,,SS0602,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,3454.18127002,v03,en,,,,Guit,9.19873034,30.11256521,0.0,0.0,0.016477272727272726,23.66401515151515,91577.56427380373,64840.43440998718
Koch,,,,SS0603,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,4396.58759553,v03,en,,,,Koch,8.60318327,29.85366483,0.0,0.0,0.008385056099307711,21.425519216996896,176766.99406936386,93687.72390024364
Leer,,,,SS0604,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,1610.94149249,v03,en,,,,Leer,8.18818124,30.22247541,0.0,0.0,0.010047846889952153,25.427272727272726,50149.18049926602,77331.85570006073
Mayendit,,,,SS0605,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,3061.32097606,v03,en,,,,Mayendit,8.12549382,29.8976997,0.0,0.0,0.002911497105045492,19.685988420181967,120203.27907225511,68059.28141923202
Mayom,,,,SS0606,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,4260.41752675,v03,en,,,,Mayom,9.06184557,29.11281729,0.0,0.0,0.08712023962344886,18.747910426472686,205288.5547938286,140504.86140164547
Panyijiar,,,,SS0607,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,5324.97317487,v03,en,,,,Panyijiar,7.52887511,30.31268294,0.0,0.0,0.006074806907923284,21.240764847117358,186234.8493459022,119071.56335116923
Pariang,,,,SS0608,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,8978.79429891,v03,en,,,,Pariang,9.83945448,30.10795578,0.0,0.0,0.42743205656646893,46.16772226131832,292350.7314447587,125004.66156925075
Rubkona,,,,SS0609,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,3563.89150309,v03,en,,,,Rubkona,9.30837778,29.62247281,0.0,0.0,0.03505549177190968,20.367317259854573,145667.0602921001,325508.5377927944
Baliet,,,,SS0701,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,11675.847179,v03,en,,,,Baliet,9.39752123,32.39742115,0.0,0.0,0.0009802625782007225,41.777260111023,136001.39521011096,55575.54096519947
Fashoda,,,,SS0702,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,3594.95337516,v03,en,,,,Fashoda,9.98586587,31.84906791,0.0,0.0,0.0317208564631245,40.55662893807224,45411.77592035471,70039.85592010245
