FID,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,facility_id,facility_name,exposed_dates,first_exposure,last_exposure,index_admin1,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
55419,South Sudan,Jonglei,Ayueldit Primary Health Care Unit,Primary Health Care Unit,MoH,7.7244,31.331,GPS,632,Ayueldit Primary Health Care Unit,31,2022-01-14,2022-03-10,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55826,South Sudan,Unity,Dekom Primary Health Care Unit,Primary Health Care Unit,MoH,7.359,30.4566,GPS,1038,Dekom Primary Health Care Unit,29,2020-12-04,2022-11-04,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55036,South Sudan,Central Equatoria,Muni Primary Health Care Centre,Primary Health Care Centre,MoH,5.644,31.7202,GPS,255,Muni Primary Health Care Centre,25,2015-12-04,2025-06-11,0,Central Equatoria,,,,SS01,South Sudan,,,,SS,2022-12-19,,43083.15547127,v03,en,,,,Central Equatoria,4.8792884,31.45163965
55416,South Sudan,Jonglei,Atar Chuei Primary Health Care Unit,Primary Health Care Unit,MoH,9.2921,31.4103,GPS,629,Atar Chuei Primary Health Care Unit,24,2015-12-18,2024-12-27,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55499,South Sudan,Jonglei,Nyadiu Primary Health Care Centre,Primary Health Care Centre,MoH,8.7997,30.6691,Geonames,712,Nyadiu Primary Health Care Centre,23,2015-01-02,2015-02-19,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
56062,South Sudan,Upper Nile,Waraj Wok Primary Health Care Centre,Primary Health Care Centre,MoH,9.4738,31.6339,GPS,1274,Waraj Wok Primary Health Care Centre,23,2021-10-24,2025-01-26,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55911,South Sudan,Unity,Tiap Primary Health Care Centre,Primary Health Care Centre,MoH,7.4148,30.424,Geonames,1123,Tiap Primary Health Care Centre,22,2020-11-13,2021-01-25,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55514,South Sudan,Jonglei,Pager Primary Health Care Unit,Primary Health Care Unit,MoH,7.1954,31.3852,GPS,727,Pager Primary Health Care Unit,22,2023-12-21,2024-01-26,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55451,South Sudan,Jonglei,Juaibor Primary Health Care Centre,Primary Health Care Centre,MoH,9.4008,30.6698,GPS,664,Juaibor Primary Health Care Centre,21,2021-11-02,2022-02-04,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55445,South Sudan,Jonglei,Fangak County Hospital,County Hospital,MoH,9.4091,31.1614,GPS,658,Fangak County Hospital,21,2021-10-20,2022-01-05,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55450,South Sudan,Jonglei,Jiech Primary Health Care Unit,Primary Health Care Unit,MoH,8.3709,31.1367,GPS,663,Jiech Primary Health Care Unit,20,2022-01-29,2022-03-08,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55928,South Sudan,Upper Nile,Achake Primary Health Care Unit,Primary Health Care Unit,MoH,9.7999,31.9827,GPS,1140,Achake Primary Health Care Unit,19,2021-10-24,2023-01-07,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55457,South Sudan,Jonglei,Kiir Primary Health Care Unit,Primary Health Care Unit,MoH,7.2605,31.3588,GPS,670,Kiir Primary Health Care Unit,19,2015-01-02,2015-02-03,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55914,South Sudan,Unity,Tuoch Luak Primary Health Care Unit,Primary Health Care Unit,MoH,8.8996,29.6866,GPS,1126,Tuoch Luak Primary Health Care Unit,19,2023-03-04,2025-12-13,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
