date,inundation_km2,population_exposed_est,crop_exposed_km2,rangeland_exposed_km2,cattle_exposure_index,flooded_cells,extent_percentile,population_percentile,rank_gap
2022-04-14,45.115428137328905,760.4926759749651,0.1067746995542572,3.447280137867756,1116627.1061233222,850,0.04379379379379379,0.6453953953953954,0.6016016016016016
2024-08-21,45.76462759910985,217.9704269170761,2.479123099630276,35.578954741121485,2786268.6100741513,866,0.045545545545545546,0.5882132132132132,0.5426676676676676
2023-03-19,145.0052299616267,2528.373369142413,3.0099386407459496,128.02551533112586,9950606.208092816,2747,0.2147147147147147,0.7344844844844844,0.5197697697697697
2021-09-18,75.36534256994008,312.00610253214836,9.047684810932775,15.614857684213332,2590572.334499027,1419,0.09084084084084085,0.6011011011011012,0.5102602602602603
2020-10-22,54.849107978303586,114.22765327244997,9.825965365499957,50.14809588571462,3743278.1393612195,1039,0.055805805805805804,0.5580580580580581,0.5022522522522522
2022-10-16,57.671960648288476,74.15760064870119,2.1687085680473848,44.39728338637788,3079795.6751795453,1092,0.06156156156156156,0.5402902902902903,0.47872872872872874
2021-02-20,35.000776924741224,34.52584809064865,0.2657259757175733,17.041972952378337,810088.5142523175,661,0.03028028028028028,0.4997497497497497,0.46946946946946944
2024-08-22,1.2193169622870905,18.00383824110031,0.0,0.05288707322649965,34149.745588279104,23,0.0007507507507507507,0.461961961961962,0.4612112112112112
2022-10-13,80.80199088105435,119.8263628706336,9.192520912542566,36.6551090734685,4491357.608620822,1527,0.09884884884884886,0.5595595595595596,0.46071071071071074
2022-10-22,10.976022936070528,20.202513217926025,1.5326084088410672,2.222751480972522,226074.1472775741,206,0.006756756756756757,0.466966966966967,0.46021021021021025
2025-04-14,82.80541938397437,126.77457025647163,0.8518431632187745,34.10065018685042,2525396.1698829136,1556,0.1031031031031031,0.5620620620620621,0.458958958958959
2022-04-05,245.0567506883432,7367.288745131344,16.089433004350983,212.95175932328232,15166846.034919789,4644,0.3576076076076076,0.8148148148148148,0.45720720720720714
2025-08-19,28.805745549686648,24.604036331176758,0.1587854982352447,21.651968219812893,1374606.5043224536,545,0.02177177177177177,0.4777277277277277,0.45595595595595595
2024-08-20,101.2631711785088,217.9704269170761,3.331450928821213,66.89577465150651,5572007.514526519,1911,0.13313313313313313,0.5882132132132132,0.45508008008008005
2021-03-16,20.844174980320172,15.981410264968872,0.0527734936149212,5.807683724351291,1327197.8936704078,395,0.015515515515515516,0.45645645645645644,0.44094094094094094
2015-03-25,35.81617038036281,20.259917974472046,1.2224621972675846,12.024412671605416,2264562.9206525045,675,0.03178178178178178,0.4672172172172172,0.43543543543543545
2024-04-26,117.24137167966065,275.61667834967375,0.37190338410218476,40.39001283349416,4436951.207444983,2215,0.16091091091091092,0.5958458458458459,0.43493493493493496
2019-10-20,77.47151734824014,59.850904725492,4.386265508194878,28.248209885585915,7730200.953500283,1464,0.0945945945945946,0.529029029029029,0.4344344344344344
2022-04-07,49.01179942515058,27.16755747795105,0.5339978265544666,10.457579350797499,1789694.5037968482,918,0.04904904904904905,0.4817317317317317,0.4326826826826827
2025-04-13,127.25932154997562,384.8422840386629,1.961926883103975,61.44371222912617,6613487.294378601,2402,0.17792792792792791,0.6093593593593594,0.4314314314314315
2022-04-03,236.41181505158775,4754.175360355526,8.975405202712173,132.7340000060882,13652171.080879632,4469,0.34884884884884887,0.7802802802802803,0.4314314314314314
2016-09-20,80.49317300719554,54.106956988573074,3.980389238958088,11.510456019735427,2643662.1302248025,1515,0.0980980980980981,0.5242742742742743,0.4261761761761762
2024-07-21,28.451435539829557,12.877464845776558,0.0,27.2351802473422,1979606.7041290684,539,0.021521521521521522,0.4441941941941942,0.42267267267267267
2016-09-29,73.07820837439526,40.34423354268074,6.818255299656484,10.018084134005935,2842647.7155984864,1374,0.08658658658658659,0.5081331331331331,0.42154654654654655
2019-09-13,28.83793180091791,12.095991998910904,0.0,6.081491090557663,1717953.0677188651,543,0.022022022022022022,0.44144144144144143,0.4194194194194194
