lon,lat,exposed_dates,mean_population,cumulative_person_date_exposure,index_right,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
29.65104103088379,9.144791603088379,862,2.8307818309890145,2440.1339383125305,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.65104103088379,9.140625,859,14.24324777156843,12234.949835777283,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.65104103088379,9.146875381469727,856,15.28877743939373,13087.193488121033,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.655208587646484,9.138541221618652,854,16.579311394300618,14158.731930732727,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.653125762939453,9.138541221618652,854,0.16031084094519357,136.90545816719532,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.655208587646484,9.140625,853,4.111165373154849,3506.8240633010864,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.653125762939453,9.144791603088379,853,2.583182296607587,2203.4544990062714,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.657291412353516,9.138541221618652,853,1.741710355944259,1485.6789336204529,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.657291412353516,9.148958206176758,853,0.3692664036228117,314.9842422902584,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.653125762939453,9.146875381469727,852,0.3084479963905375,262.79769292473793,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.644792556762695,9.134374618530273,851,1.373334662614502,1168.707797884941,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.653125762939453,9.140625,850,7.021607310351204,5968.366213798523,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.64270782470703,9.134374618530273,850,3.964746026431813,3370.034122467041,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.648958206176758,9.138541221618652,849,4.09673812392182,3478.1306672096252,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.653125762939453,9.142708778381348,849,0.9424305249299543,800.1235156655312,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.644792556762695,9.132291793823242,848,11.762646176905003,9974.723958015442,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.688541412353516,9.007291793823242,848,1.9256777120929844,1632.9746998548508,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.644792556762695,9.138541221618652,847,5.628524039402481,4767.359861373901,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.646875381469727,9.144791603088379,847,2.5781186223733803,2183.6664731502533,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.644792556762695,9.136458396911621,846,0.5578428451896559,471.9350470304489,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.646875381469727,9.146875381469727,844,0.16625679549165245,140.32073539495468,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
